code,city,airport,country,provider,base,lat,lon
LEI,Almeria,Almeria Airport,Spain,ENAIRE,131.725,36.8500,-2.3667
LEJ,Leipzig,Leipzig Halle Airport,Germany,DFS,131.725,51.4167,12.2167
LEQ,Lands End,Lands End,United Kingdom,SITA,131.725,50.1000,-5.6667
LET,Leticia,Alfredo Vasquez Cobo Airport,Colombia,SITA,131.725,-4.2000,-69.9333
LEX,Lexington/KY,Blue Grass Airport,USA,SITA,136.85,38.0333,-84.6000
LFT,Lafayette/LA,Lafayette Rgnl Airport,USA,SITA,136.85,30.2000,-91.9833
LFW,Lome,Lome Airport,Togo,SITA,131.725,6.1667,1.2500
LGA,New York/NY,La Guardia Int’l Airport,USA,SITA,136.85,40.7667,-73.8667
LGB,Long Beach/CA,Long Beach Muni. Airport,USA,SITA,136.85,33.8000,-118.1500
LGG,Liege,Bierset Airport,Belgium,SITA,131.725,50.6333,5.4500
LGH,Leigh Creek,Leigh Creek Airport,Australia,SITA,131.55,-30.6000,138.4167
LGK,Langkawi,Langkawi Int’l Airport,Malaysia,SITA,131.55,6.3333,99.7333
LGW,London,Gatwick,United Kingdom,SITA,131.725,51.1500,-0.1500
LHE,Lahore,Lahore Allama Iqbal Intl’ Airport,Pakistan,SITA,131.725,31.5167,74.4000
LHR,London,Heathrow,United Kingdom,SITA,131.725,51.4500,-0.4333
LIH,Lihue/HI,kauai Island Airport,USA,SITA,136.85,21.9667,-159.3500
LIL,Lille,Lesquin Airport,France,SITA,131.725,50.5667,3.1000
LIM,Lima,Jorge Chavez Int’l Airport,Peru,SITA,131.725,-12.0167,-77.1000
LIN,Milan,Linate,Italy,SITA,131.725,45.4500,9.2833
LIR,Liberia,Aeropuerto Internacional Daniel Obude,Costa Rica,SITA,131.725,10.6000,-85.5333
LIS,Lisbon,Lisboa Airport,Portugal,NAV Portugal,131.725,38.7833,-9.1333
LIT,Little Rock/AR,Little Rock Rgnl Airport,USA,SITA,136.85,34.7333,-92.2333
LJU,Ljubljana,Ljubljana Joze Pucnik Airport,Slovenia,SITA,131.725,46.2333,14.4500
LKO,Lucknow,Chaudhary Charan Singh (Lucknow) Airport,India,SITA,131.725,26.7500,80.8833
LLA,Lulea,Luleå/Kallax airport,Sweden,SITA,131.725,65.5500,22.1167
LLW,Lilongwe,Kamuzu Int’l Airport,Malawi,SITA,131.725,-13.7667,33.7667
LNK,Lincoln/NE,Lincoln Muni Airport,USA,SITA,136.85,40.8500,-96.7500
LNY,Lanai/HI,Lanai Airport,USA,SITA,136.85,20.7833,-156.9500
LNZ,Linz,Hoersching Airport,Austria,SITA,131.725,48.2333,14.1833
LOP,Lombok,Lombok International Airport,Indonesia,SITA,131.55,-8.7500,116.2667
LOS,Lagos,Murtala Muhammed Airport,Nigeria,SITA,131.725,6.5667,3.3167
LOU,Louisville KY,Stanford Airport,USA,SITA,136.85,38.2167,-85.6667
LPA,Las Palmas - Gran Canaria,Gran Canaria Airport,Spain,ENAIRE,131.725,27.9167,-15.4000
LPB,La Paz,El Alto Int’l Airport,Bolivia,SITA,131.725,-16.5000,-68.1667
LRD,Laredo/TX,Laredo Int’l Airport,USA,SITA,136.85,27.5333,-99.4667
LRE,Longreach,Longreach Airport,Australia,SITA,131.55,-23.4167,144.2833
LRM,La Romana,Casa de Campo International Airport,Dominican Republic,SITA,131.725,18.4500,-68.9000
LRT,Lorient,Aeroport de Lorient Lann-Bihoue,France,SITA,131.725,47.7500,-3.4333
LSC,La Serena Cuarta Region,La Florida Airport,Chile,SITA,131.725,-29.9167,-71.1833
LSE,LaCrosse/WI,La Crosse Muni Airport,USA,SITA,136.85,43.8667,-91.2500
LSI,Sumburgh,Sumburgh,United Kingdom,SITA,131.725,59.8667,-1.2833
LST,Launceston,Launceston Airport,Australia,SITA,131.55,-41.5500,147.2000
LTN,Luton,London Luton Airport,United Kingdom,SITA,131.725,51.8667,-0.3667
LUK,Cincinnati/OH,Cincinnati Muni Lunken Field,USA,SITA,136.85,39.1000,-84.4167
LUN,Lusaka,Lusaka Int’l Airport,Zambia,SITA,131.725,-15.3167,28.4333
LUX,Luxembourg,Luxembourg Airport,Luxembourg,SITA,131.725,49.6333,6.2167
LVS,Las Vegas/NM,Las Vegas Muni Airport,USA,SITA,136.85,35.6500,-105.1333
LWO,Lviv,Lviv - Sknilov Int’l airport,Ukraine,SITA,131.725,49.8000,23.9500
LXR,Luxor,Luxor Airport,Egypt,SITA,131.725,25.6667,32.7000
LYR,Longyearbyen,Svalbard Airport,Norway,SITA,131.725,78.2333,15.5000
LYS,Lyon,St Exupéry Airport,France,SITA,131.725,45.7167,5.0667
MAA,Madras,Chennai Int’l Airport,India,SITA,131.725,12.9833,80.1667
MAB,Marabá,Aeroporto de Marabá - João Correa da Rocha,Brazil,SITA,131.55,-5.3667,-49.1333
MAD,Madrid,Barajas Airport,Spain,ENAIRE,131.725,40.5000,-3.5333
MAF,Midland/TX,Midland Int’l Airport,USA,SITA,136.85,31.9500,-102.2000
MAH,Menorca,Mahon Airport,Spain,ENAIRE,131.725,39.8667,4.2167
MAN,Manchester,Manchester Int’l Airport,United Kingdom,SITA,131.725,53.3333,-2.2833
MAO,Manaus,Eduardo Gomes Intl,Brazil,SITA,131.55,-3.0333,-60.0500
MAR,Maracaibo,La Chinita International Airport,Venezuela,SITA,131.725,10.5500,-71.7167
MBA,Mombasa,Mombasa Moi International Airport,Kenya,SITA,131.725,-4.0167,39.6000
MBE,Monbetsu,Monbetsu Airport,Japan,Avicom,131.45,44.3000,143.4000
MBJ,Montego Bay,Sangster Int’l Airport,Jamaica,SITA,131.725,18.5000,-77.9167
MBS,Saginaw/MI,Tri City Airport,USA,SITA,136.85,43.5333,-84.0833
MCI,Kansas City/MO,Kansas City Int’l Airport,USA,SITA,136.85,39.2833,-94.7000
MCK,Mc Cook/NE,Mc Cook Airport,USA,SITA,136.85,40.2000,-100.5833
MCO,Orlando/FL,Orlando Int’l Airport,USA,SITA,136.85,28.4333,-81.3167
MCS,Montes Caseros,Montes Caseros Airport,Argentina,SITA,131.725,-30.2667,-57.6333
MCT,Muscat,Seeb Airport,Oman,SITA,131.725,23.5833,58.2833
MCY,Marcoola,Sunshine Coast Airport,Australia,SITA,131.55,-26.6000,153.0833
MCZ,Maceio,Aeroporto Internacional Zumbi dos Palmares Rio Largo,Brazil,SITA,131.55,-9.5167,-35.7833
MDC,Manado,Sam Ratulangi Airport,Indonesia,SITA,131.55,1.5333,124.9167
MDE,Medelin,Jose Maria Cordoba Airport,Colombia,SITA,131.725,6.1667,-75.4167
MDT,Harrisburg/PA,Harrisburg Int’l Airport,USA,SITA,136.85,40.1833,-76.7500
MDW,Chicago/IL,Chicago Midway Airport,USA,SITA,136.85,41.7833,-87.7333
MDZ,Las Heras/Mendoza,El Plumerillo Airport,Argentina,SITA,131.725,-32.8167,-68.7833
MED,Medinah,Prince Mohammad Bin Abdulaziz Airport,Saudi Arabia,GACA,131.725,24.5500,39.7000
MEL,Melbourne,Melbourne Intl’ Airport,Australia,SITA,131.55,-37.6667,144.8500
MEM,Memphis/TN,Memphis Int’l Airport,USA,SITA,136.85,35.0500,-89.9833
MEX,Mexico City,Licenciado Benito Juarez Int’l Airport,Mexico,SITA,131.725,19.4333,-99.0833
MFE,McAllen/TX,Mc Allen Miller Int’l Airport,USA,SITA,136.85,26.1833,-98.2333
MFR,Medford/OR,Rogue Valley Intl Medford Airport,USA,SITA,136.85,42.3667,-122.8667
MGA,Managua,Managua - Augusto C. Sandino Int’l Airport,Nicaragua,SITA,131.725,12.1333,-86.1667
MGM,Montgomery/AL,Montgomery Rgnl Airport,USA,SITA,136.85,32.3000,-86.3833
MHD,Mashhad,Mashhad International Airport,Iran,SITA,131.725,36.2167,59.6333
MHR,Sacramento,Sacramento Mather Airport,USA,SITA,136.85,38.5500,-121.3000
MHT,Manchester,Manchester Airport,USA,SITA,136.85,42.9167,-71.4333
MIA,Miami/FL,Miami Int’l Airport,USA,SITA,136.85,25.7833,-80.3000
MID,Merida,Licenciado Manuel Crescencio Rejon Int’l Airport,Mexico,SITA,131.725,20.9333,-89.6500
MIR,Monastir,Habib Bourguiba Int’l Airport,Tunisia,SITA,131.725,35.7500,10.7500
MKE,Milwaukee/WI,General Mitchell Int’l Airport,USA,SITA,136.85,42.9500,-87.9167
MKK,Kaunakakai/HI,Molokai Airport,USA,SITA,136.85,21.1500,-157.0833
MKR,Meekatharra,Meekatharra Airport,Australia,SITA,131.55,-26.6000,118.5500
MKY,Mackay,Mackay Airport,Australia,SITA,131.55,-21.1667,149.1667
MLA,Luqa,Luqa - Malta Int’l Airport,Malta,SITA,131.725,35.8500,14.4833
MLB,Melbourne/FL,Melbourne Int’l Airport,USA,Harris,136.85,28.0833,-80.6333
MLE,Male,Male Int’l Airport,Maldives,SITA,131.725,4.1667,73.5167
MLH,Mulhouse,Bale - Mulhouse Airport,France,SITA,131.725,47.6000,7.5333
MLI,Moline/IL,Quad City Int’l Airport,USA,SITA,136.85,41.4500,-90.5000
MLU,Monroe/LA,Monroe Rgnl Airport,USA,SITA,136.85,32.5000,-92.0333
MMB,Memanbetsu,Memanbetsu Airport,Japan,Avicom,131.45,43.8667,144.1500
MMJ,Matsumoto,Matsumato Airport,Japan,Avicom,131.45,36.1667,137.9167
MMU,Morristown/NJ,Morristown Muni Airport,USA,SITA,136.85,40.7833,-74.4167
MMX,Malmo,Malmo - Sturup Airport,Sweden,SITA,131.725,55.5333,13.3667
MNL,Manila,Ninoy Aquino Int’l Airport,Philippines,SITA,131.55,14.5000,121.0000
MNT,Montejunto,No Airport,Portugal,NAV Portugal,131.725,39.1667,-9.0500
MOB,Mobile/AL,Mobile Rgnl Airport,USA,SITA,136.85,30.6833,-88.2333
MOL,Molde,Molde - Aro Airport,Norway,SITA,131.725,62.7333,7.2500
MOO,Moomba,Moomba Airport,Australia,SITA,131.55,-28.1000,140.1833
MOT,Minot/ND,Minot Int’l Airport,USA,SITA,136.85,48.2500,-101.2833
MPL,Montpellier,Montpellier - Méditerranée Airport,France,SITA,131.725,43.5667,3.9500
MPM,Maputo,Maputo Int’l Airport,Mozambique,SITA,131.725,-25.9167,32.5667
MQL,Mildura,Mildura Airport,Australia,SITA,131.55,-34.2333,142.0833
MQT,Gwinn/MI,Sawyer Int’l Airport,USA,SITA,136.85,46.3333,-87.3833
MRS,Marseille,Marseille Airport,France,SITA,131.725,43.4333,5.2167
MRU,Mauritius,Sir Seewoosagur Ramgoolam Int’l Airport,Mauritius,SITA,131.725,-20.4333,57.6667
MRV,Mineralnye Vody,Mineralnye Vody Airport,Russia,SITA,131.725,44.2167,43.0833
MRY,Monterey/CA,Monterey Peninsula Airport,USA,SITA,136.85,36.5833,-121.8500
MSJ,Misawa,Misawa Airport,Japan,Avicom,131.45,40.6833,141.3833
MSN,Madison/WI,Dane County Rgnl Airport,USA,SITA,136.85,43.1333,-89.3333
MSO,Missoula/MT,Johnson-Bell Field,USA,SITA,136.85,46.9167,-114.0667
MSP,St. Paul/MN,Minneapolis-St Paul International/Wold,USA,SITA,136.85,44.8833,-93.2167
MSQ,Minsk,Minsk Int’l Airport,Belarus,SITA,131.725,53.8833,28.0333
MSY,New-Orleans/LA,Louis Armstrong - New Orleans Int’l Airport,USA,SITA,136.85,29.9833,-90.2500
MTR,Monteria,St Jeronimo Airport,Colombia,SITA,131.725,8.7667,-75.8667
MTY,Monterey,General Mariano Escobedo Int’l Airport,Mexico,SITA,131.725,25.7667,-100.1000
MUC,Munich,Franz Joseph Strauss Int’l Airport,Germany,DFS,131.725,48.3500,11.7667
MUX,Multan,Multan Intl’ Airport,Pakistan,SITA,131.725,30.2000,71.4167
MVD,Monte Video,Carrasco Airport,Uruguay,SITA,131.725,-34.8333,-56.0167
MVY,Vineyard Haven,Marthas Vineyard Airport,USA,SITA,136.85,41.3833,-70.6167
MWH,Moses Lake/WA,Grant County Airport,USA,SITA,136.85,47.1833,-119.3167
MXP,Milan,Malpensa,Italy,SITA,131.725,45.6167,8.7000
MYJ,Matsuyama,Matsuyama Airport,Japan,Avicom,131.45,33.8333,132.7000
MYR,Myrtle Beach/SC,Myrtle Beach Int’l Airport,USA,SITA,136.85,33.6667,-78.9333
MYY,Miri,Miri Airport,Malaysia,SITA,131.55,4.3167,113.9833
MZL,Manizales,Aeropuerto La Nubia,Colombia,SITA,131.725,5.0167,-75.4667
MZT,Mazatlan,General Rafael Buelna Int’l Airport,Mexico,SITA,131.725,23.1667,-106.2667
NAG,Nagpur,Dr. Babasaheb Ambedkar International Airport,India,SITA,131.725,21.0833,79.0500
NAN,Nadi,Nadi Int’l Airport,Fiji,SITA,131.55,-17.7500,177.4500
NAP,Naples,Naples Int’l Airport,Italy,SITA,131.725,40.8667,14.2833
NAS,Nassau,Nassau Int’l Airport,Bahamas,SITA,131.725,25.0500,-77.4667
NAT,Natal,Aeroporto de Natal – São Gonçalo do Amarante,Brazil,SITA,131.55,-5.7500,-35.3667
NBE,Enfidha,Zine El Abidine Ben Ali International Airport,Tunisia,SITA,131.725,36.1000,10.4000
NBO,Nairobi,Jomo Kenyatta Int’l Airport,Kenya,SITA,131.725,-1.3167,36.9167
NCE,Nice,Nice Côte d’Azur Airport,France,SITA,131.725,43.6500,7.2000
NCL,Newcastle,Newcastle Int’l Airport,United Kingdom,SITA,131.725,55.0333,-1.7000
NDJ,Ndjamena,Ndjamena Hassan Djamous Airport,Chad,SITA,131.725,12.1167,15.0333
NGO,Nagoya,Chubu Centrair Int’l Airport,Japan,Avicom,131.45,34.8667,136.8167
NGS,Nagasaki,Nagasaki Airport,Japan,Avicom,131.45,32.9000,129.9167
NKC,Nouakchott,Nouakchott Airport,Mauritania,SITA,131.725,18.1000,-15.9500
NKM,Komaki,Nagoya Airfield,Japan,Avicom,131.45,35.2500,136.9167
NLK,Norfolk Island,Norfolk Island Airport,Australia,SITA,131.55,-29.0333,167.9333
NOU,Noumea,Noumea - La Tontouta Airport,New Caledonia,SITA,131.55,-22.0000,166.2167
NQN,Neuquen,Presidente Perón International Airport,Argentina,SITA,131.725,-38.9500,-68.1500
NQY,Newquay,Newquay,United Kingdom,SITA,131.725,50.4500,-4.9833
NRT,Narita,Narita Int’l Airport,Japan,Avicom,131.45,35.7667,140.3833
NSK,Norilsk,Alykel Airport,Russia,SITA,131.725,69.3000,87.3333
NTE,Nantes,Nantes Atlantique Airport,France,SITA,131.725,47.1500,-1.6000
NTL,Williamtown,Newcastle Airport (New South Wales),Australia,SITA,131.55,-32.7833,151.8333
NTQ,Noto,Noto Airport,Japan,Avicom,131.45,37.3000,136.9500
NTX,Natuna Island,Natuna Ranai Airport,Indonesia,SITA,131.55,3.9000,108.3833
NUE,Nuremberg,Nuremberg Airport,Germany,DFS,131.725,49.5000,11.0667
NWI,Norwich,Norwich International Airport,United Kingdom,SITA,131.725,52.6667,1.2667
OAJ,Richlands/NC,Albert J Ellis Airport,USA,SITA,136.85,34.8333,-77.6000
OAK,Oakland/CA,Metropolitan Oakland Intl,USA,SITA,136.85,37.7167,-122.2167
OBO,Obihiro,Obihiro Airport,Japan,Avicom,131.45,42.7167,143.2500
ODS,Odessa,Odessa Int’l Airport,Ukraine,SITA,131.725,46.4333,30.6667
OGG,Kahului/HI,Kahului Airport,USA,SITA,136.85,20.7667,-156.2333
OGN,Yonaguni,Yonaguni Airport,Japan,Avicom,131.45,24.4500,122.9833
OIT,Oita,Oita Airport,Japan,Avicom,131.45,33.4667,131.7333
OKA,Naha,Naha Airport,Japan,Avicom,131.45,26.2000,127.6500
OKC,Oklahoma City/OK,Will Rogers World Airport,USA,SITA,136.85,35.4000,-97.6000
OKJ,Okayama,Okayama Airport,Japan,Avicom,131.45,34.7500,133.8500
OLB,Olbia,Olbia Costa Smeralda,Italy,SITA,131.725,40.9000,9.5167
OMA,Omaha/NE,Eppley Afld,USA,SITA,136.85,41.3000,-95.9000
OMS,Omsk,Omsk Southwest Airport,Russia,SITA,131.725,54.9500,73.3000
ONJ,Odate Noshiro,Odate Noshiro Airport,Japan,Avicom,131.45,40.2000,140.3667
ONT,Ontario/CA,Ontario Int’l Airport,USA,SITA,136.85,34.0500,-117.5833
OOL,Coolangatta,Gold Coast Airport,Australia,SITA,131.55,-28.1667,153.5000
OPO,Porto,Francisco Sá Carneiro Airport,Portugal,NAV Portugal,131.725,41.2333,-8.6833
ORD,Chicago/IL,O’hare Int’l Airport,USA,SITA,136.85,41.9667,-87.8833
ORF,Norfolk/VA,Norfolk Intl’ Airport,USA,SITA,136.85,36.8833,-76.2000
ORH,Worcester/MA,Worcester Regional Airport,USA,SITA,136.85,42.2667,-71.8667
ORK,Cork,Cork Airport,Ireland,SITA,131.725,51.8500,-8.4833
ORN,Oran,Oran-Es Senia Airport,Algeria,SITA,131.725,35.6167,-0.6000
ORY,Paris,Paris-Orly Airport,France,SITA,131.725,48.7167,2.3500
OSA,Osaka,Osaka Int’l Airport,Japan,Avicom,131.45,34.7833,135.4333
OSL,Oslo,Gardermoen Airport,Norway,SITA,131.725,60.1833,11.1000
OSR,Ostrava,Leos Janacek Airport,Czech Republic,SITA,131.725,49.6833,18.1167
OTP,Bucharest,Henri Coanda Intl’ Airport,Romania,SITA,131.725,44.5667,26.1000
OUA,Ouagadougou,Ouagadougou Airport,Burkina Faso,SITA,131.725,12.3500,-1.5167
OUD,Oujda,Airport Oujda-Angad,Morocco,SITA,131.725,34.2833,-1.9333
OUL,Oulu,Oulu Airport,Finland,SITA,131.725,64.9167,25.3667
OVB,Novosibirsk,Tolmachevo Airport,Russia,SITA,131.725,55.0000,82.6667
OVD,Oviedo,Asturias Airport,Spain,ENAIRE,131.725,43.5500,-6.0167
PAD,Paderborn,Paderborn Lippstadt Airport,Germany,DFS,131.725,51.6000,8.6000
PAE,Everett/WA,Snohomish County Airport,USA,SITA,136.85,47.9167,-122.2667
PAP,Port au Prince,Migate Intl’ Airport,Haiti,SITA,131.725,18.5833,-72.3000
PAR,Paris,No Airport,France,SITA,,48.8833,2.2667
PAT,Patna,Lok Nayak Jayaprakash Airport,India,SITA,131.725,25.5833,85.0833
PBC,Puebla,Hermanos Serdan Intl Airport,Mexico,SITA,131.725,19.1500,-98.3667
PBI,West Palm Beach/FL,Palm Beach International Airport,USA,SITA,136.85,26.6667,-80.1000
PBM,Paramaribo,Johan A Pengel Intl,Suriname,SITA,131.725,5.4500,-55.2000
PCL,Pucallpa,Captain Rolden International Airport,Peru,SITA,131.725,-8.3667,-74.5667
PDG,Padang,Minangkabau International Airport,Indonesia,SITA,131.55,-0.8833,100.3500
PDL,Ponta Delgada,João Paulo II Airport,Portugal,NAV Portugal,131.725,37.8333,-25.7500
PDP,Punta del Este/Maldonado,Aeropuerto Interncional de Punta del Este,Uruguay,SITA,131.725,-34.8500,-55.8500
PDX,Portland/OR,Portland Int’l Airport,USA,SITA,136.85,45.5833,-122.5833
PEE,Perm,Bolshoye Savino Intl’ Airport,Russia,SITA,131.725,57.9167,56.0000
PEI,Pereira,Matecana Airport,Colombia,SITA,131.725,4.8167,-75.7500
PEM,Puerto Maldonado,Padre Aldamiz Airport,Peru,SITA,131.725,-12.6000,-69.2167
PEN,Penang,Penang Intl’ Airport,Malaysia,SITA,131.55,5.2833,100.2667
PER,Perth,Perth Airport,Australia,SITA,131.55,-31.9333,115.9500
PFO,Paphos,Paphos Intl’ Airport,Cyprus,SITA,131.725,34.7167,32.4833
PGA,Page/AZ,Page Municipal Airport,USA,SITA,136.85,36.9167,-111.4500
PGF,Perpignan,Rivesaltes Airport,France,SITA,131.725,42.7333,2.8667
PHC,Port Harcourt,Port Harcourt Airport,Nigeria,SITA,131.725,5.0167,6.9500
PHE,Port Hedland,Port Hedland Intl Airport,Australia,SITA,131.55,-20.3833,118.6333
PHF,Newport News/VA,Newport News Williamsburg Intl Airport,USA,SITA,136.85,37.1167,-76.5000
PHL,Philadelphia/PA,Philadelphia International Airport,USA,SITA,136.85,39.8500,-75.2500
PHX,Phoenix/AZ,Phoenix Sky Harbor Intl’ Airport,USA,SITA,136.85,33.4333,-111.9833
PIA,Peoria/IL,Greater Peoria Rgnl Airport,USA,SITA,136.85,40.6667,-89.6833
PIE,Clearwater/Fl.,St Petersburg Clearwater Intl’ Airport,USA,Harris,136.85,27.9000,-82.6833
PIK,Glasgow,Prestwick Intl’ Airport,United Kingdom,SITA,131.725,55.5000,-4.6000
PIS,Poitiers,Aeroport de Poiters - Biard,France,SITA,,46.5833,0.3000
PIT,Pittsburgh/PA,Greater Pittsburgh Int’l Airport,USA,SITA,136.85,40.4833,-80.2500
PIU,Piura,Capitan Fap Guillermo Concha Iberico Airport,Peru,SITA,131.725,-5.2000,-80.6167
PKC,Petropavlosk-Kamchatsky,Yelizovo Airport,Russia,SITA,131.725,53.1667,158.4167
PLM,Palembang,Sultan Mahmud Badaruddin Ii Airport,Indonesia,SITA,131.55,-2.8833,104.6833
PLS,Providenciales,Providenciales Intl’ Airport,Turks & Caicos,SITA,131.725,21.7667,-72.2667
PLZ,Port Elizabeth,Port Elizabeth Intl Airport,South Africa,SITA,131.725,-33.9833,25.6000
PMC,Puerto Montt,El Tepual Intl Airport,Chile,SITA,131.725,-41.4333,-73.0833
PMI,Palma De Mallorca,Palma De Mallorca Airport,Spain,ENAIRE,131.725,39.5333,2.7167
PMO,Palermo,Falcone-Borsellino Intl’ airport,Italy,SITA,131.725,38.1667,13.0833
PMR,Palmerston,Palmerston North Intl’ Airport,New Zealand,SITA,131.55,-40.3167,175.6167
PNH,Phnom Penh,Phnom Penh intl’ Airport,Cambodia,SITA,131.55,11.5500,104.8333
PNQ,Pune,Pune Airport,India,SITA,131.725,18.5667,73.9000
PNS,Pensacola/FL,Pensacola Rgnl Airport,USA,Harris,136.85,30.4667,-87.1833
PNZ,Petrolina,Senador Nilo Coelho,Brazil,SITA,131.55,-9.3500,-40.5667
POA,Porto Alegre,Salgado Filho,Brazil,SITA,131.55,-29.9833,-51.1667
POM,Port Moresby,Port Moresby Jacksons Intl Airport,Papua New Guinea,SITA,131.55,-9.4333,147.2000
POP,Puerto Plata,Gregorio Luperon International Airport,Dominican Republic,SITA,131.725,19.7500,-70.5667
POS,Port of Spain,Piarco Airport,Trinidad & Tobago,SITA,131.725,10.6000,-61.3333
POZ,Poznan,Lawica Airport,Poland,SITA,131.725,52.4167,16.8167
PPG,Pago Pago,Tafuna Intl’ Airport,American Samoa,SITA,131.55,-14.3167,-170.7000
PPT,Papeete,Tahiti Faaa Airport,French Polynesia,SITA,131.55,-17.5500,-149.6000
PQC,Phu Quoc,Phu Quoc International Airport,Viet Nam,SITA,131.55,10.1667,103.9833
PRG,Prague,Ruzyne Intl Airport,Czech Republic,SITA,131.725,50.1000,14.2667
PRN,Pristina,Pristina Int’l Airport,Kosovo,SITA,131.725,42.5667,21.0167
PSA,Pisa,Galileo Galilei Intl’ Airport,Italy,SITA,131.725,43.7000,10.4000
PSC,Pasco/WA,Tri Cities Airport,USA,SITA,136.85,46.2500,-119.1000
PSE,Ponce,Mercedita Airport,Puerto Rico,SITA,131.725,18.0000,-66.5500
PSO,Pasto,Antonio Narino,Colombia,SITA,131.725,1.3833,-77.2833
PSP,Palm Springs/CA,Palm Springs Intl Airport,USA,SITA,136.85,33.8333,-116.5000
PTK,Pontiac/MI,Oakland County Intl Airport,USA,SITA,136.85,42.6500,-83.4000
PTP,Pointe a Pitre,Le Raizet,Guadeloupe,SITA,131.725,16.2667,-61.5167
PTY,Panama City,Tocumen Intl’ Airport,Panama,SITA,131.725,9.0667,-79.3833
PUF,Pau,Pau Pyrenees,France,SITA,131.725,43.3833,-0.4000
PUJ,Punta Cana,Punta Cana International Airport,Dominican Republic,SITA,131.725,18.5500,-68.3500
PUQ,Punta Arenas,Carlos Ibanez Del Campo Intl Airport,Chile,SITA,131.725,-53.0000,-70.8500
PUS,Pusan,Gimhae Intl’ Airport,Rep. Of Korea,SITA,131.55,35.1667,128.9667
PVD,Providence/RI,Theodore Francis Green State Airport,USA,SITA,136.85,41.7167,-71.4333
PVH,Porto Velho,Governador Jorge Teixeira De Oliveira,Brazil,SITA,131.55,-8.7000,-63.9000
PVR,Puerto Vallarta,Licenciado Gustavo Diaz Ordaz Intl Airport,Mexico,SITA,131.725,20.6667,-105.2500
PWK,Wheeling/IL,Chicago Executive Airport,USA,SITA,136.85,42.1000,-87.9000
PWM,Portland/ME,Portland Intl Jetport,USA,SITA,136.85,43.6500,-70.3000
PWQ,Pawlodar,Pawlodar Airport,Kazakhstan,SITA,131.725,52.1833,77.0667
QRO,Queretaro,International Airport Queretaro,Mexico,SITA,131.725,20.6167,-100.3667
RAK,Marrakech,Menara Int’l Airport,Morocco,SITA,131.725,31.6000,-8.0167
RAP,Rapid City/SD,Rapid City Rgnl Airport,USA,SITA,136.85,44.0333,-103.0500
RAR,Rarotonga,Rarotonga Int’l Airport,Cook Island,SITA,131.55,-21.2000,-159.8000
RBA,Rabat,Rabat - Sale Airport,Morocco,SITA,131.725,34.0333,-6.7500
RBR,Rio Branco,Aeroporto Internacional de Rio Branco – Plácido de castro,Brazil,SITA,131.55,-9.8667,-67.8833
RBT,Marsabit,Marsabit Airport,Kenya,SITA,131.725,2.5333,37.9333
RCH,Rioacha,Almirante Padilla Airport,Colombia,SITA,131.725,11.5167,-72.9167
RDD,Redding/CA,Redding Municipal Airport,USA,SITA,136.85,40.5000,-122.3000
RDU,Raleigh Durham/NC,Raleigh Durham Intl Airport,USA,SITA,136.85,35.8833,-78.7833
REC,Recife,Guararapes Gilberto Freyre Intl,Brazil,SITA,131.55,-8.1167,-34.9167
REK,Reykjavik,Reykjavik Airport,Iceland,SITA,131.725,64.2333,-21.4500
REL,Trelew,Almirante Marco Andrés Zar Airport,Argentina,SITA,131.725,-43.2000,-65.2833
REN,Orenburg,Orenburg Airport,Russia,SITA,131.725,51.7833,55.4500
REP,Siem Reap,Siem Reap Int’l Airport,Cambodia,SITA,131.55,13.4000,103.8167
RES,Resistencia,Aeropuerto de Resistencia,Argentina,SITA,131.725,-27.4500,-59.0500
RFD,Rockford/IL,Greater Rockford Airport,USA,SITA,136.85,42.2167,-89.0833
RGL,Rio Gallegos,Aeropuerto de Rio Gallegos,Argentina,SITA,131.725,-51.6000,-69.3000
RGN,Yangon,Yangon Airport,Myanmar,SITA,131.55,16.8833,96.1333
RHO,Rhodes,Diagoras Rhodos Airport,Greece,SITA,131.725,36.4000,28.0833
RIC,Richmond/VA,Richmond Int’l Airport,USA,SITA,136.85,37.5000,-77.3333
RIV,Riverside,March Air Reserve Base,USA,SITA,136.85,33.8833,-117.2500
RIX,Riga,Riga Int’l Airport,Latvia,SITA,131.725,56.9167,23.9667
RKS,Rock Springs/WY,Rock Springs Sweetwater County Airport,USA,SITA,136.85,41.6000,-109.0667
RKT,Ras Al Khaimah,Ras Al Khaimah Int’l Airport,United Arab Emirates,SITA,131.725,25.6167,55.9333
RLG,Rostock,Rostock-Laage,Germany,DFS,131.725,53.9167,12.2833
RNO,Reno/NV,Reno Tahoe Int’l Airport,USA,SITA,136.85,39.3000,-119.8833
RNS,Rennes,Saint Jacques,France,SITA,131.725,48.0667,-1.7167
ROA,Roanoke/VA,Roanoke Rgnl Woodrum Field,USA,SITA,136.85,37.3167,-79.9667
ROC,Rochester/NY,Greater Rochester Int’l Airport,USA,SITA,136.85,43.1167,-77.6500
ROK,Rockhampton,Rockhampton Airport,Australia,SITA,131.55,-23.3667,150.4667
ROS,Rosario/Santa Fe,Rosario - Islas Malvinas Intl’ Airport,Argentina,SITA,131.725,-32.9167,-60.7667
ROT,Rotorua,Rotorua International Airport,New Zealand,SITA,131.55,-38.1000,176.3167
ROV,Rostov,Rostov On Don Airport,Russia,SITA,131.725,47.2500,39.8000
