code,city,airport,country,provider,base,lat,lon
FTY,Atlanta/GA,Fulton County Arpt - Brown Field,USA,SITA,136.85,33.7667,-84.5333
FUE,Fuerteventura,Fuerteventura Airport,Spain,ENAIRE,131.725,28.4500,-13.8667
FUJ,Fukue,Fukue Airport,Japan,Avicom,131.45,32.6667,128.8333
FUK,Fukuoka,Fukuoka Airport,Japan,Avicom,131.45,33.5833,130.4500
FWA,Fort Wayne/IN,Fort Wayne Int’l,USA,SITA,136.85,40.9667,-85.1833
GAJ,Yamagata,Yamagata Airport,Japan,Avicom,131.45,38.4000,140.3667
GAU,Guwahati,Lokpriya Gopinath Bordoloi International Airport,India,SITA,131.725,26.1000,91.5833
GBE,Gaborone,Sir Seretse Khama Int’l,Botswana,SITA,131.725,-24.5500,25.9167
GCM,Grand Cayman,Owen Roberts Int’l,Cayman Islands,SITA,131.725,19.2833,-81.3500
GDL,Tiajomulco de Zuniga/Jalisco,Don Miguel Hidalgo y Costilla Int’l,Mexico,SITA,131.725,20.5167,-103.3000
GDN,Gdansk,Lecha Walesy Airport,Poland,SITA,131.725,54.3667,18.4667
GDQ,Gondar,Atse Tewodros Airport,Ethiopia,SITA,131.725,12.5167,37.4333
GDX,Magadan,Magadan North West Airport,Russia,SITA,131.725,59.9000,150.7167
GEG,Spokane/WA,Spokane Int’l,USA,SITA,136.85,47.6167,-117.5167
GEO,Georgetown,Cheddi Jagan Int’l,Guyana,SITA,131.725,6.5000,-58.2500
GFK,Grand Forks/ND,Grand Forks Int’l,USA,SITA,136.85,47.9333,-97.1667
GHA,Ghardaia,Noumérat – Moufdi Zakaria Airport,Algeria,SITA,131.725,32.3833,3.8000
GIB,Gibraltar,Gibraltar Airport,United Kingdom,SITA,131.725,36.1500,-5.3500
GIG,Rio de Janerio,Galeao Antonio Carlos Jobim Intl,Brazil,SITA,131.55,-22.8000,-43.2333
GIZ,Gizan,Gizan Regional Airport,Saudi Arabia,GACA,131.725,16.9000,42.5833
GJT,Grand Junction/CO,Walker field,USA,SITA,136.85,38.9833,-108.7333
GLA,Glasgow,Glasgow Airport,United Kingdom,SITA,131.725,55.8667,-4.4333
GMP,Seoul,Gimpo international Airport,Rep. Of Korea,SITA,131.55,37.5500,126.8000
GMX,Off Shore oil rig LA,GB426 oil rig Gulf of Mexico,USA,SITA,136.85,27.5333,-92.4333
GNB,Grenoble,Saint Geoirs Airport,France,SITA,131.725,45.3500,5.3333
GND,St. Georges,Maurice Bishop International,Grenada,SITA,131.725,12.0000,-61.7833
GNV,Gainesville/FL,Gainesville Rgnl Airport,USA,Harris,136.85,29.6833,-82.2667
GOA,Genova,Genova Sestri Airport,Italy,SITA,131.725,44.4167,8.8333
GOI,Goa,Dabolim Airport,India,SITA,131.725,15.3833,73.8333
GOJ,Nizhny Novgorod,Strigino Airport,Russia,SITA,131.725,56.2167,43.7833
GOT,Goteborg,Landvetter Airport,Sweden,SITA,131.725,57.6500,12.2667
GOV,Gove,Gove Airport,Australia,SITA,131.55,-12.2667,136.8167
GPS,Isla de Baltra,Aeropuerto Seymour,Ecuador,SITA,131.725,-0.4333,-90.2667
GPT,Gulfport/MS,Gulfport-Biloxi Int’l Airport,USA,SITA,136.85,30.4000,-89.0667
GRB,Green Bay/WI,Austin Straubel Int’l,USA,SITA,136.85,44.4833,-88.1167
GRJ,George,George Airport,South Africa,SITA,131.725,-34.0000,22.3833
GRP,Gurupi,Aeroporto Municipal de Gurupi,Brazil,SITA,131.55,-11.7167,-49.0667
GRR,Grand Rapids/MI,Gerald R. Ford Int’l Airport Authority,USA,SITA,136.85,42.8833,-85.5167
GRU,Sao Paulo,Guarulhos Gov-Andre Franco Montoro,Brazil,SITA,131.55,-23.4333,-46.4667
GRX,Granada,Frederico Garcia Lorca Int’l,Spain,ENAIRE,131.725,37.1833,-3.7833
GRZ,Graz,Graz Airport,Austria,SITA,131.725,46.9833,15.4333
GSO,Greensboro/NC,Piedmont Triad Int’l Airport,USA,SITA,136.85,36.1000,-79.9333
